[neutral/A1] 1200 datums, 44368 loss tokens / 50368 total
  [schema] metrics keys: ['clock_cycle:unique', 'loss:sum']
  [neutral/A1] ep0 step 1: mean_nll=2.2430 (64 datums, 13s)
  [neutral/A1] ep0 step 2: mean_nll=2.1955 (64 datums, 16s)
  [neutral/A1] ep0 step 3: mean_nll=2.0504 (64 datums, 19s)
  [neutral/A1] ep0 step 4: mean_nll=1.8313 (64 datums, 22s)
  [neutral/A1] ep0 step 5: mean_nll=1.7075 (64 datums, 25s)
  [neutral/A1] ep0 step 6: mean_nll=1.6529 (64 datums, 28s)
  [neutral/A1] ep0 step 7: mean_nll=1.5546 (64 datums, 32s)
  [neutral/A1] ep0 step 8: mean_nll=1.5253 (64 datums, 36s)
  [neutral/A1] ep0 step 9: mean_nll=1.5172 (64 datums, 40s)
  [neutral/A1] ep0 step 10: mean_nll=1.4882 (64 datums, 43s)
  [neutral/A1] ep0 step 11: mean_nll=1.3952 (64 datums, 46s)
  [neutral/A1] ep0 step 12: mean_nll=1.3925 (64 datums, 48s)
  [neutral/A1] ep0 step 13: mean_nll=1.3466 (64 datums, 50s)
  [neutral/A1] ep0 step 14: mean_nll=1.3429 (64 datums, 52s)
  [neutral/A1] ep0 step 15: mean_nll=1.2833 (64 datums, 54s)
  [neutral/A1] ep0 step 16: mean_nll=1.2927 (64 datums, 56s)
  [neutral/A1] ep0 step 17: mean_nll=1.2948 (64 datums, 59s)
  [neutral/A1] ep0 step 18: mean_nll=1.2561 (64 datums, 61s)
  [neutral/A1] ep0 step 19: mean_nll=1.2459 (48 datums, 63s)
  [neutral/A1] ep1 step 20: mean_nll=1.1293 (64 datums, 65s)
  [neutral/A1] ep1 step 21: mean_nll=1.1270 (64 datums, 67s)
  [neutral/A1] ep1 step 22: mean_nll=1.1112 (64 datums, 69s)
  [neutral/A1] ep1 step 23: mean_nll=1.0705 (64 datums, 72s)
  [neutral/A1] ep1 step 24: mean_nll=1.1029 (64 datums, 74s)
  [neutral/A1] ep1 step 25: mean_nll=1.0918 (64 datums, 76s)
  [neutral/A1] ep1 step 26: mean_nll=1.0264 (64 datums, 78s)
  [neutral/A1] ep1 step 27: mean_nll=1.0839 (64 datums, 80s)
  [neutral/A1] ep1 step 28: mean_nll=0.9963 (64 datums, 82s)
  [neutral/A1] ep1 step 29: mean_nll=0.9999 (64 datums, 85s)
  [neutral/A1] ep1 step 30: mean_nll=1.0811 (64 datums, 87s)
  [neutral/A1] ep1 step 31: mean_nll=0.9952 (64 datums, 89s)
  [neutral/A1] ep1 step 32: mean_nll=0.9669 (64 datums, 91s)
  [neutral/A1] ep1 step 33: mean_nll=1.0071 (64 datums, 93s)
